input,output
त्यो प्रश्नको जवाफ दिन गाह्रो भयो।,त्यो प्रश्नको जवाफ् दिन गाह्रो भयो।
उनको हरेक दिन डायरी लेखेर राख्ने बानी छ।,उनको हरेक् दिन् डायरी लेखेर राख्ने बानी छ।
त्यहाँ राम्रो र सितल थियो।,त्यहाँ राम्रो र सितल् थियो।
पृथ्वी समतल छ!,पृथ्वी सम्‌तल् छ!
हामीले कति बोतल वाइन पियौं मलाई याद छैन।,हामीले कति बोतल् वाइन् पियौं मलाई याद् छैन।
मैदान पूर्ण रूपमा समतल छ।,मैदान् पूर्ण रूप्‌मा सम्‌तल् छ।
त्यो बोतलमा दूध छ।,त्यो बोतल्‌मा दूध् छ।
सितल मौसमले आज आनन्द आयो।,सितल् मौसम्‌ले आज आनन्द आयो।
उसले बोतल बलियोसंग समात्यो।,उस्‌ले बोतल् बलियोसंग समात्यो।
समतल क्षेत्रहरूमा नदीहरू बग्छन्।,सम्‌तल् क्षेत्रहरूमा नदीहरू बग्छन्।
सितलको भाषणले सबै श्रोता शान्त भए।,सितल्‌को भाषण्‌ले सबै श्रोता शान्त् भए।
ऊ बोतल बेच्ने पसलमा गयो।,ऊ बोतल् बेच्ने पसल्‌मा गयो।
झ्यालबाट तल हेर्दा मान्छेहरू देखिए।,झ्याल्‌बाट तल हेर्दा मान्छेहरू देखिए।
त्यो किताब टेबलको तल छ।,त्यो किताब् टेबल्‌को तल छ।
पल्लो कोठाबाट ऊ तल आयो।,पल्लो कोठाबाट ऊ तल आयो।
ऊ तल बसेर पढ्दै थियो।,ऊ तल बसेर पढ्दै थियो।
उनी तल गएर काम गर्दैछन्।,उनी तल गएर काम् गर्दैछन्।
ऊ तल सडकमा कुरिरहेको छ।,ऊ तल सडक्‌मा कुरिरहेको छ।
तपाईको तलको छिमेकी को हो?,तपाईको तलको छिमेकी को हो?
म ओछ्यानबाट हाम फालेर तल दगुरेँ।,म ओछ्यान्‌बाट हाम् फालेर तल दगुरेँ।
मैले तलब पाएको छैन।,मैले तलब् पाएको छैन।
तल जान माथि जानु भन्दा गाह्रो छ।,तल जान माथि जानु भन्दा गाह्रो छ।
मलाई नट्टो खान मन लाग्दैन तर खानु पर्छ।,मलाई नट्टो खान मन् लाग्दैन तर खानु पर्छ।
म धेरै ठाउँ घुम्न चाहन्छु तर मसँग पैसा छैन।,म धेरै ठाउँ घुम्न चाहन्छु तर मसँग पैसा छैन।
"साहस गरेर, खोला तर।","साहस् गरेर, खोला तर।"
टम म भन्दा कान्छो छ तर ऊ म भन्दा अग्लो छ।,टम् म भन्दा कान्छो छ तर ऊ म भन्दा अग्लो छ।
"कहिलेकाहीँ म लढे, तर मैले कहिल्यै हार मानिनँ।","कहिलेकाहीँ म लढे, तर मैले कहिल्यै हार् मानिनँ।"
"बाटो सकियो, अब खोला तर।","बाटो सकियो, अब खोला तर।"
यो तेल तरल अवस्थामा छ।,यो तेल् तरल् अवस्थामा छ।
"म तिमीलाई भेट्न चाहन्थेँ, तर म व्यस्त थिएँ।","म तिमीलाई भेट्न चाहन्थेँ, तर म व्यस्त थिएँ।"
"उसले पढ्ने निर्णय गर्‍यो, तर ध्यान दिन सकेन।","उस्‌ले पढ्ने निर्णय गर्‍यो, तर ध्यान् दिन सकेन।"
"म मुस्कुराएँ, तर मन दुःखी थियो।","म मुस्कुराएँ, तर मन् दुःखी थियो।"
उसले तातो तरकारी भान्सामा पकाइन्।,उस्‌ले तातो तर्‌कारी भान्सामा पकाइन्।
 मैले सबैभन्दा मन पर्ने तरकारी पालक हो।, मैले सबैभन्दा मन् पर्ने तर्‌कारी पालक् हो।
त्यो बिरालोले दूधको तर चाटिरहेको थियो।,त्यो बिरालोले दूध्‌को तर् चाटिरहेको थियो।
त्यसले दूधको सतहबाट तर हटायो।,त्यस्‌ले दूध्‌को सतहबाट तर् हटायो।
म भात तरकारी खान चाहन्छु।,म भात् तर्‌कारी खान चाहन्छु।
तर झिकेको दूध अझ फिक्का लाग्छ।,तर् झिकेको दूध् अझ फिक्का लाग्छ।
बिहानै उठेर उसले दूधको तर झिकिन् ।,बिहानै उठेर उस्‌ले दूध्‌को तर् झिकिन् ।
तर बटुलेर आमाले घ्यू बनाउन थाल्नुभयो।,तर् बटुलेर आमाले घ्यू बनाउन थाल्नुभयो।
दूधको सतहमा तर जम्न थाल्यो,दूध्‌को सतहमा तर् जम्न थाल्यो
दूधमा तर लागेपछि उसले त्यसलाई चिया बनाउन प्रयोग गर्‍यो।,दूध्‌मा तर् लागेपछि उस्‌ले त्यस्‌लाई चिया बनाउन प्रयोग् गर्‍यो।
"कर समयमा तिर, जरीवाना लाग्दैन।","कर् समय्‌मा तिर, जरीवाना लाग्दैन।"
अब बाँकी रकम तिर।,अब बाँकी रकम् तिर।
"पहिले भाडा तिर, अनि कोठा लिन पाउँछौ।","पहिले भाडा तिर, अनि कोठा लिन पाउँछौ।"
कृपया बिल तिर अनि जाउ ।,कृपया बिल तिर अनि जाउ ।
त्यो जरिवाना तुरुन्तै तिर।,त्यो जरिवाना तुरुन्तै तिर।
बाघ बस्ती तिर नआओस् भनेर पर्खाल बनाइएको छ।,बाघ बस्ती तिर नआओस् भनेर पर्खाल बनाइएको छ।
हामी पूर्व तिर लाग्यौं।,हामी पूर्व तिर लाग्यौं।
उसको ध्यान मोबाइल तिर थियो।,उस्‌को ध्यान् मोबाइल् तिर थियो।
ऊ घर तिर फर्कियो।,ऊ घर् तिर फर्कियो।
म सिधा अस्पताल तिर लागेँ।,म सिधा अस्पताल् तिर लागेँ।
उसले धनुषबाट तिर चलायो।,उस्‌ले धनुष्‌बाट तिर् चलायो।
शत्रुलाई तिर लागेर घाइते बनायो।,शत्रुलाई तिर् लागेर घाइते बनायो।
त्यो तिर सिधै निशानामा लाग्यो।,त्यो तिर् सिधै निशानामा लाग्यो।
शत्रुलाई तिर लागेर घाइते बनायो।,शत्रुलाई तिर् लागेर घाइते बनायो।
तिर सीधा लक्ष्यमा लाग्यो।,तिर् सीधा लक्ष्यमा लाग्यो।
यो तिर केवल युद्धको लागि प्रयोग हुन्थ्यो।,यो तिर् केवल् युद्धको लागि प्रयोग् हुन्थ्यो।
तिर चलाउँदा दायाँ हात बलियो हुनुपर्छ।,तिर् चलाउँदा दायाँ हात् बलियो हुनुपर्छ।
तिर एकदमै धारिलो थियो।,तिर् एक्‌दमै धारिलो थियो।
तिर चलाउने प्रतियोगिता आयोजना गरिएको छ।,तिर् चलाउने प्रतियोगिता आयोजना गरिएको छ।
सेनाले सयौँ तिर एकैपटक चलायो।,सेनाले सयौँ तिर् एकैपटक् चलायो।
माया र हर्षका साथ नयाँ अध्याय खोल।,माया र हर्षका साथ् नयाँ अध्याय् खोल।
झोला खोल अनि सामान बाहिर निकाल।,झोला खोल अनि सामान् बाहिर निकाल।
ढोका खोल। मलाई थाहा छ तिमी त्यहाँ छौ।,ढोका खोल। मलाई थाहा छ तिमी त्यहाँ छौ।
किताब खोल अनि पढ्न थाल।,किताब् खोल अनि पढ्न थाल।
खाम खोल अनि चिठी पढ।,खाम् खोल अनि चिठी पढ।
फ्रिज खोल अनि बोतल निकाल।,फ्रिज् खोल अनि बोतल् निकाल।
"गेट खोल, पाहुना आइपुगे।","गेट् खोल, पाहुना आइपुगे।"
फोन खोल अनि म्यासेज चेक गर।,फोन् खोल अनि म्यासेज् चेक् गर।
लिफा खोल ।,लिफा खोल ।
किताब खोल ।,किताब् खोल ।
नरिवलको खोल धेरै कडा हुन्छ।,नरिवल्‌को खोल् धेरै कडा हुन्छ।
त्यस फलको खोल चिल्लो र गुलियो छ।,त्यस् फल्‌को खोल् चिल्लो र गुलियो छ।
उसले चकलेटको खोल हटाएर खायो।,उस्‌ले चक्‌लेट्‌को खोल् हटाएर् खायो।
किताबहरूलाई खोलमा राखेपछि सुरक्षित रहन्छ।,किताब्‌हरूलाई खोल्‌मा राखेपछि सुरक्षित् रहन्छ।
यो तारको खोल प्लास्टिकको छ।,यो तार्‌को खोल् प्लास्टिक्‌को छ।
हरियो आँपको खोल अलिकति अमिलो हुन्छ।,हरियो आँप्‌को खोल् अलिकति अमिलो हुन्छ।
कछुवाको गाढा खोलमा प्रायजसो पहेँला थोप्लाहरू हुन्छन्।,कछुवाको गाढा खोल्‌मा प्रायजसो पहेँला थोप्लाहरू हुन्छन्।
यसमा कडा रातो बाहिरी खोल अनि भित्र थोरै चपाइन सकिने किसिमको हुन्छ।,यस्‌मा कडा रातो बाहिरी खोल् अनि भित्र थोरै चपाइन सकिने किसिम्‌को हुन्छ।
एक्स विन्डो प्रणाली ग्राफिकल इन्टरफेसको एउटा खोल मात्र हो।,एक्स् विन्डो प्रणाली ग्राफिकल् इन्टर्‌फेस्‌को एउटा खोल् मात्र हो।
"तिनीहरूसँग नरम, कहिलेकाहीँ तरल, भरिने कडा चकलेट खोल हुन्छ।","तिनीहरूसँग नरम्, कहिलेकाहीँ तरल्, भरिने कडा चक्‌लेट् खोल् हुन्छ।"
म थप योगदान गर्न चाहन्छु।,म थप् योग्‌दान् गर्न चाहन्छु।
हामीले थप मानिसहरूलाई आमन्त्रित गर्यौं।,हामीले थप् मानिस्‌हरूलाई आमन्त्रित् गर्यौं।
सामीले थप भिडियोहरू बनाएका छन्।,सामीले थप् भिडियोहरू बनाएका छन्।
तिमीले थप प्रयास गर्नुपर्छ।,तिमीले थप् प्रयास् गर्नुपर्छ।
उनीहरूले थप घरहरू निर्माण गरे।,उनीहरूले थप् घर्‌हरू निर्माण् गरे।
मैले थप जानकारी पाएँ।,मैले थप् जान्‌कारी पाएँ।
सरकारले थप योजना ल्यायो।,सर्‌कार्‌ले थप् योजना ल्यायो।
बजारमा थप सामानहरू आए।,बजार्‌मा थप् सामान्‌हरू आए।
शिक्षकले थप प्रश्नहरू सोध्नुभयो।,शिक्षक्‌ले थप् प्रश्नहरू सोध्नुभयो।
उसले थप अनुभव प्राप्त गर्यो।,उस्‌ले थप् अनुभव् प्राप्त गर्यो।
यस सूपमा नुन थप ।,यस् सूप्‌मा नुन् थप ।
तिम्रो भाषणमा केहि उदाहरण थप।,तिम्रो भाषण्‌मा केहि उदाहरण् थप।
खानामा अलिकति मसला थप।,खानामा अलिकति मसला थप।
यो लिस्टमा तिम्रो नाम थप।,यो लिस्टमा तिम्रो नाम् थप।
तस्बिरमा केहि रंग थप।,तस्बिर्‌मा केहि रंग् थप।
गीतमा नयाँ बोल थप।,गीतमा नयाँ बोल् थप।
नियममा केहि शर्त थप।,नियम्‌मा केहि शर्त थप।
मेकअपमा हाइलाइटर थप।,मेक्‌अप्‌मा हाइलाइटर् थप।
यस चियामा चिनी थप।,यस् चियामा चिनी थप।
यो झोलमा अलिकति पानी थप।,यो झोल्‌मा अलिकति पानी थप।
बस दिनमा कति पटक चल्छ?,बस् दिन्‌मा कति पटक् चल्छ?
म बस एउटा ट्याक्सी खोज्न चाहन्छु।,म बस् एउटा ट्याक्सी खोज्न चाहन्छु।
बस बाहिर नजानुहोस्।,बस् बाहिर नजानुहोस्।
यो बस बिसौनी हो।,यो बस् बिसौनी हो।
विद्यालय जान नियमित रूपमा बस प्रयोग गर्छु।,विद्यालय् जान नियमित् रूप्‌मा बस् प्रयोग् गर्छु।
बस भित्र धेरै यात्रु थिए।,बस् भित्र धेरै यात्रु थिए।
ट्राफिक जामका कारण बस ढिलो भयो।,ट्राफिक् जाम्‌का कारण् बस् ढिलो भयो।
उनले टिकट लिएर बस कुरे।,उन्‌ले टिकट् लिएर बस् कुरे।
त्यो बस दिउँसो ३ बजे छुट्छ।,त्यो बस् दिउँसो ३ बजे छुट्छ।
यो रातको अन्तिम बस हो।,यो रात्‌को अन्तिम् बस् हो।
"शिक्षकले भने — ""शान्त भएर बस।""","शिक्षक्‌ले भने — ""शान्त भएर बस।"""
"पर्ख, केही बेर मसँग बस।","पर्ख, केही बेर् मसँग बस।"
ओछ्यानमा बस।,ओछ्यान्‌मा बस।
झोला राख अनि  बस।,झोला राख अनि  बस।
अब चुपचाप बस।,अब चुप्‌चाप् बस।
कोठाको कुनामा बस।,कोठाको कुनामा बस।
"कुरामा ध्यान दिनु, यहाँ बस।","कुरामा ध्यान् दिनु, यहाँ बस।"
मेरो अगाडि बसेर काम गर।,मेरो अगाडि बसेर काम् गर।
तिमी कुर्सीमा बस।,तिमी कुर्सीमा बस।
ढोका बन्द गरेर बस।,ढोका बन्द् गरेर बस।
मलाई अण्डाको पहेलो भाग मन पर्छ।,मलाई अण्डाको पहेलो भाग् मन् पर्छ।
के तपाई बैठकमा भाग लिने योजनामा हुनुहुन्छ?,के तपाई बैठक्‌मा भाग् लिने योजनामा हुनुहुन्छ?
मलाई सहरको यो भाग राम्ररी थाहा छैन।,मलाई सहर्‌को यो भाग् राम्ररी थाहा छैन।
म समूहको एक भाग मात्र हुँ।,म समूहको एक् भाग् मात्र हुँ।
ऊ पनि हाम्रो इतिहासको भाग हो।,ऊ पनि हाम्रो इतिहास्‌को भाग् हो।
प्रस्तुतिको पहिलो भाग सकिएको छ।,प्रस्तुतिको पहिलो भाग् सकिएको छ।
उपन्यासको अन्तिम भाग एकदमै मार्मिक छ।,उपन्यास्‌को अन्तिम् भाग् एक्‌दमै मार्मिक् छ।
हाम्रो पाठ्यक्रमको ठूलो भाग समाप्त भइसकेको छ।,हाम्रो पाठ्यक्रम्‌को ठूलो भाग् समाप्त भइसकेको छ।
मलाई मेरो भाग पूरा चाहिन्छ।,मलाई मेरो भाग् पूरा चाहिन्छ।
हाम्रो अध्ययनको मुख्य भाग भाषा हो ।,हाम्रो अध्ययन्‌को मुख्य भाग् भाषा हो ।
भाग! अहिले नै भाग!,भाग! अहिले नै भाग!
त्यहाँबाट भाग!,त्यहाँबाट भाग!
"छिटो भाग, समय छैन!","छिटो भाग, समय् छैन!"
भाग नत्र झर्छौ! ,भाग नत्र झर्छौ! 
"दुश्मन आयो, भाग! ","दुश्मन आयो, भाग! "
"भाग, फर्केर नहेर! ","भाग, फर्केर नहेर! "
"आगो लाग्यो, भाग! ","आगो लाग्यो, भाग! "
"भाग, उसले तिमीलाई पछ्याउँदै छ! ","भाग, उस्‌ले तिमीलाई पछ्याउँदै छ! "
"यहाँ असुरक्षित छ, भाग! ","यहाँ असुरक्षित् छ, भाग! "
"त्यहाँ खतरा छ, तिमी भाग!","त्यहाँ खतरा छ, तिमी भाग!"
विमान बादल माथि उड्यो।,विमान् बादल् माथि उड्यो।
म पैदल गएँ ।,म पैदल् गएँ ।
हामीले नयाँ सुरक्षा दल गठन गरेका छौं।,हामीले नयाँ सुरक्षा दल् गठन् गरेका छौं।
यो काम गर्न विशेषज्ञ दल आवश्यक छ।,यो काम् गर्न विशेषज्ञ दल् आवश्यक् छ।
यस्तो हुन सक्छ कि राष्ट्रपति र प्रधानमन्त्री दुवै एउटै राजनैतिक दल वा फरक राजनैतिक दलका हुन् ।,यस्तो हुन सक्छ कि राष्ट्रपति र प्रधानमन्त्री दुवै एउटै राजनैतिक दल् वा फरक् राजनैतिक् दल्‌का हुन् ।
शमा अहिले १ सयभन्दा बढी राजनीतिक दल छन्।,शहर्‌मा अहिले १ सय्‌भन्दा बढी राजनीतिक् दल् छन्।
उनले आफ्नो दल छोडेर अर्को दलमा सामेल भए।,उन्‌ले आफ्नो दल् छोडेर अर्को दल्‌मा सामेल् भए।
यो काम गर्न विशेष दल चाहिन्छ।,यो काम् गर्न विशेष् दल् चाहिन्छ।
यस प्रतियोगितामा धेरै दल सहभागी हुनेछन्।,यस प्रतियोगितामा धेरै दल् सहभागी हुनेछन्।
उनीहरूको दल सबैभन्दा उच्चमा छ।,उनीहरूको दल् सबैभन्दा उच्चमा छ।
हातले नून दल।,हात्‌ले नून् दल।
ओखरमा लसुन दल।,ओखर्‌मा लसुन् दल।
खुर्सानी दल।,खुर्सानी दल।
हातमा पाउडर दल।,हात्‌मा पाउडर् दल।
फूल हातमा दल।,फूल् हात्‌मा दल।
कागजमा रंग दल।,कागज्‌मा रंग् दल।
कपडामा हरियो रंग दल।,कपडामा हरियो रंग् दल।
चित्रकलामा उज्यालो रंग दल।,चित्रकलामा उज्यालो रंग् दल।
खुट्टामा तेल दल।,खुट्टामा तेल् दल।
नाकमा विक्स दल।,नाक्‌मा विक्स् दल।
चिन्ता नगर।,चिन्ता नगर।
रिस नगर।,रिस् नगर।
हतार नगर।,हतार् नगर।
"अनावश्यक चिन्ता नगर, सबै ठीक हुनेछ।","अनावश्यक् चिन्ता नगर, सबै ठीक् हुनेछ।"
अरूको सफलतामा इर्ष्या नगर।,अरूको सफलतामा इर्ष्या नगर।
यो काम गर्न गाह्रो छ भनेर आलस्य नगर ।,यो काम् गर्न गाह्रो छ भनेर आलस्य नगर ।
"भेदभाव नगर, सबैलाई समान हेर।","भेद्‌भाव् नगर, सबैलाई समान् हेर।"
"गल्ती खोज्ने  नगर, समाधानमा मद्दत गर।","गल्ती खोज्ने  नगर, समाधान्‌मा मद्दत् गर।"
"सकारात्मक योगदान गर, आलोचना नगर ।","सकारात्मक् योगदान् गर, आलोचना नगर ।"
घमण्ड नगर।,घमण्ड नगर।
यो नगर धेरै सुन्दर छ।,यो नगर् धेरै सुन्दर् छ।
यो नगर हिमालको तल्लो भागमा अवस्थित छ।,यो नगर् हिमाल्‌को तल्लो भाग्‌मा अवस्थित् छ।
यो नगर प्रत्येक वर्ष हजारौं पर्यटकहरूलाई आकर्षित गर्छ।,यो नगर् प्रत्येक् वर्ष हजारौं पर्यटक्‌हरूलाई आकर्षित् गर्छ।
नगरको दक्षिणमा एउटा ठूलो नदी बग्छ।,नगर्‌को दक्षिण्‌मा एउटा ठूलो नदी बग्छ।
यो नगर देशको आर्थिक राजधानीको रूपमा परिचित छ।,यो नगर् देश्‌को आर्थिक् राज्‌धानीको रूप्‌मा परिचित् छ।
नगर विकास समितिले सडक विस्तार कार्य सुरु गरेको छ।,नगर् विकास् समितिले सडक् विस्तार् कार्य सुरु गरेको छ।
चराहरू गान्धीनगर माथि उडिरहेका थिए।,चराहरू गान्धीनगर् माथि उडिरहेका थिए।
आज हामी नगर परिक्रमा गरेर आएका  छौँ।,आज हामी नगर् परिक्रमा गरेर आएका छौँ।
नगर विकास निगमले भर्खरै एउटा सफाई अभियानको थालनी गरेको छ।,नगर् विकास् निगम्‌ले भर्खरै एउटा सफाई अभियान्‌को थालनी गरेको छ।
आज नगर पञ्चायतको कार्यालयमा भव्य कार्यक्रम राखिएको छ।,आज नगर् पञ्चायत्‌को कार्यालय्‌मा भव्य कार्यक्रम् राखिएको छ।
म यो नोटबुक कहिले सम्म लिन सक्छु?,म यो नोट्‌बुक् कहिले सम्म लिन सक्छु?
तपाईं यो सामान आज लिन जानुहुन्छ?,तपाईं यो सामान् आज लिन जानुहुन्छ?
मैले तपाईंको फोन केही मिनेट लिन सक्छु?,मैले तपाईंको फोन् केही मिनेट् लिन सक्छु?
म यो कुरा गम्भीर रूपमा लिन चाहन्छु।,म यो कुरा गम्भीर् रूप्‌मा लिन चाहन्छु।
म यो जिम्मेवारी लिन तयार छु।,म यो जिम्मेवारी लिन तयार् छु।
म आज बजारबाट नयाँ कपडा लिन जादै छु।,म आज बजार्‌बाट नयाँ कपडा लिन जादै छु।
छोराले आमाको हातबाट बस्ता लिन खोज्यो।,छोराले आमाको हात्‌बाट बस्ता लिन खोज्यो।
यो दवाई खाने बेलामा एकैचोटि दुई गोली लिन नहुने।,यो दवाई खाने बेलामा एकैचोटि दुई गोली लिन नहुने।
हामीले यो निर्णयलाई भविष्यको लागि महत्त्वपूर्ण रूपमा लिन सक्छौं।,हामीले यो निर्णयलाई भविष्यको लागि महत्त्वपूर्ण रूप्‌मा लिन सक्छौं।
उसले आफ्नो गल्तीको जिम्मेवारी लिन अस्वीकार गर्यो।,उस्‌ले आफ्नो गल्तीको जिम्मेवारी लिन अस्वीकार् गर्यो।
"बालक चित्र बनाउँनमा यति लीन थियो, उसले खाना खान पनि बिर्सियो।","बालक् चित्र बनाउँनमा यति लीन् थियो, उस्‌ले खाना खान पनि बिर्सियो।"
साधक ध्यानमा लीन भएर आत्मा र ब्रह्मबीचको सम्बन्ध अनुभूत गरिरहेको थियो।,साधक् ध्यान्‌मा लीन् भएर आत्मा र ब्रह्मबीचको सम्बन्ध अनुभूत् गरिरहेको थियो।
गुरू आफ्नो प्रवचनमा लीन थिए।,गुरू आफ्नो प्रवचन्‌मा लीन् थिए।
कलाकार सङगीतमा लीन भएर संसारकै अस्तित्व भुल्न पुगेको थियो।,कलाकार् सङगीतमा लीन् भएर संसार्‌कै अस्तित्व भुल्न पुगेको थियो।
"तिमी जब प्रेममा लीन हुन्छौ, तब समयको बोध हराउँछ।","तिमी जब प्रेम्‌मा लीन् हुन्छौ, तब समय्‌को बोध् हराउँछ।"
"लेखक शब्दहरूमा लीन थिए, उनका आँखामा चराचर जगतको चित्र देखिन्थ्यो।","लेखक् शब्दहरूमा लीन् थिए, उन्‌का आँखामा चराचर् जगत्‌को चित्र देखिन्थ्यो।"
वर्षाका कारण खेल स्थगित भएको थियो।,वर्षाका कारण् खेल् स्थगित् भएको थियो।
यो खेल धेरै रोमाञ्चक छ।,यो खेल् धेरै रोमाञ्चक् छ।
तपाईंलाई कुन खेल मनपर्छ?,तपाईंलाई कुन् खेल् मन्‌पर्छ?
यो खेल सजिलो छैन।,यो खेल् सजिलो छैन।
खेल सकिएपछि हामी घर गयौं।,खेल् सकिएपछि हामी घर् गयौं।
यो खेल दुई जनाले मात्र खेल्न सकिन्छ।,यो खेल् दुई जनाले मात्र खेल्न सकिन्छ।
खेल हेर्न धेरै मानिस आएका थिए।,खेल् हेर्न धेरै मानिस् आएका थिए।
बादलहरू आकाशमा खेल खेलिरहेका छन्।,बादल्‌हरू आकाश्‌मा खेल् खेलिरहेका छन्।
उनी खेल खेल्न धेरै रुचाउँछिन्।,उनी खेल् खेल्न धेरै रुचाउँछिन्।
राजनीतिक खेल धेरै जटिल हुन्छ।,राजनीतिक् खेल् धेरै जटिल् हुन्छ।
तिमी बाहिर गएर खेल।,तिमी बाहिर गएर खेल।
तिमी मैदानमा खेल।,तिमी मैदान्‌मा खेल।
तिमी साथीहरूसँग खेल।,तिमी साथीहरूसँग खेल।
बेलुकी स्कुलपछि खेल।,बेलुकी स्कुल्‌पछि खेल।
तिमी हरेक दिन बिहान खेल।,तिमी हरेक् दिन् बिहान् खेल।
तिमी झगडा नगरिकन खेल।,तिमी झगडा नगरिकन खेल।
तिमी होशियार भएर खेल।,तिमी होशियार् भएर खेल।
तिमी डोरीको खेल खेल।,तिमी डोरीको खेल् खेल।
तिमी रमाउँदै खेल।,तिमी रमाउँदै खेल।
तिमी गहिरो पानीमा नखेल।,तिमी गहिरो पानीमा नखेल।
टमलाई खोज।,टम्‌लाई खोज।
तिमी मोबाइल खोज।,तिमी मोबाइल् खोज।
हराएको झोला अब तिमी आफैं खोज।,हराएको झोला अब तिमी आफैं खोज।
अँध्यारो भएपछि टर्च लिएर बाटो खोज।,अँध्यारो भएपछि टर्च लिएर बाटो खोज।
"अब केही बहाना नदेऊ, प्रमाण खोज।","अब केही बहाना नदेऊ, प्रमाण् खोज।"
पहिले गल्ती कहाँ भयो भनेर खोज।,पहिले गल्ती कहाँ भयो भनेर खोज।
"अब समय आयो, तिमी आफैलाई खोज।","अब समय् आयो, तिमी आफैलाई खोज।"
प्रश्नको जवाफ खोज।,प्रश्नको जवाफ् खोज।
नयाँ सुरुआतको सम्भावना खोज।,नयाँ सुरुआत्‌को सम्भावना खोज।
त्यो पुरानो सम्झना फोटाहरूमा खोज।,त्यो पुरानो सम्झना फोटाहरूमा खोज।
खोज जारी राख।,खोज् जारी राख।
"खोज सरल छैन, धैर्य चाहिन्छ।","खोज् सरल् छैन, धैर्य चाहिन्छ।"
सत्यको खोज कहिल्यै सकिँदैन।,सत्यको खोज् कहिल्यै सकिँदैन।
"खोज स्थगित नगर, केही समय देऊ।","खोज् स्थगित् नगर्, केही समय् देऊ।"
"खोज सजिलो छैन, तर सम्भव छ।","खोज् सजिलो छैन, तर सम्भव् छ।"
तिमी यो विषयमा अझ गहिरो खोज गर।,तिमी यो विषयमा अझ गहिरो खोज् गर।
यो अनुसन्धान एक दीर्घकालीन खोज हो।,यो अनुसन्धान् एक् दीर्घकालीन् खोज् हो।
हामी प्रमाणको खोज गर्दैछौं।,हामी प्रमाण्‌को खोज् गर्दैछौं।
खोज निष्पक्ष हुनुपर्छ।,खोज् निष्पक्ष हुनुपर्छ।
